DATE,PCEC96
2002-01-01,8981.7
2002-02-01,9022.0
2002-03-01,9020.6
2002-04-01,9066.3
2002-05-01,9031.8
2002-06-01,9064.9
2002-07-01,9123.6
2002-08-01,9132.7
2002-09-01,9103.6
2002-10-01,9135.6
2002-11-01,9162.1
2002-12-01,9219.4
2003-01-01,9219.1
2003-02-01,9186.3
2003-03-01,9241.2
2003-04-01,9287.2
2003-05-01,9308.5
2003-06-01,9361.3
2003-07-01,9407.3
2003-08-01,9493.6
2003-09-01,9466.2
2003-10-01,9479.8
2003-11-01,9533.1
2003-12-01,9546.5
2004-01-01,9576.5
2004-02-01,9592.8
2004-03-01,9644.2
2004-04-01,9641.7
2004-05-01,9699.0
2004-06-01,9652.1
2004-07-01,9727.4
2004-08-01,9762.5
2004-09-01,9823.5
2004-10-01,9844.4
2004-11-01,9860.8
2004-12-01,9927.1
2005-01-01,9901.2
2005-02-01,9942.8
2005-03-01,9961.1
2005-04-01,10023.0
2005-05-01,10016.1
2005-06-01,10104.1
2005-07-01,10182.0
2005-08-01,10144.7
2005-09-01,10109.1
2005-10-01,10140.2
2005-11-01,10175.4
2005-12-01,10210.7
2006-01-01,10263.3
2006-02-01,10292.4
2006-03-01,10311.0
2006-04-01,10326.6
2006-05-01,10346.3
2006-06-01,10350.1
2006-07-01,10404.8
2006-08-01,10371.1
2006-09-01,10435.5
2006-10-01,10481.6
2006-11-01,10485.6
2006-12-01,10546.3
2007-01-01,10561.4
2007-02-01,10561.8
2007-03-01,10566.6
2007-04-01,10578.0
2007-05-01,10587.6
2007-06-01,10582.9
2007-07-01,10612.1
2007-08-01,10653.6
2007-09-01,10661.7
2007-10-01,10663.2
2007-11-01,10684.3
2007-12-01,10671.0
2008-01-01,10665.8
2008-02-01,10625.6
2008-03-01,10641.9
2008-04-01,10659.3
2008-05-01,10672.2
2008-06-01,10653.6
2008-07-01,10604.6
2008-08-01,10603.0
2008-09-01,10537.9
2008-10-01,10514.9
2008-11-01,10487.6
2008-12-01,10447.6
2009-01-01,10500.6
2009-02-01,10460.3
2009-03-01,10418.2
2009-04-01,10408.5
2009-05-01,10421.6
2009-06-01,10421.9
2009-07-01,10458.3
2009-08-01,10554.5
2009-09-01,10454.8
2009-10-01,10465.9
2009-11-01,10449.1
2009-12-01,10505.9
2010-01-01,10488.1
2010-02-01,10519.9
2010-03-01,10568.3
2010-04-01,10588.9
2010-05-01,10605.6
2010-06-01,10632.9
2010-07-01,10658.6
2010-08-01,10689.8
2010-09-01,10701.6
2010-10-01,10728.0
2010-11-01,10759.8
2010-12-01,10774.2
2011-01-01,10783.7
2011-02-01,10788.2
2011-03-01,10827.3
2011-04-01,10820.0
2011-05-01,10811.9
2011-06-01,10839.0
2011-07-01,10860.6
2011-08-01,10857.7
2011-09-01,10879.8
2011-10-01,10894.4
2011-11-01,10878.4
2011-12-01,10884.9
2012-01-01,10936.7
2012-02-01,11002.4
2012-03-01,10980.8
2012-04-01,10993.9
2012-05-01,10995.6
2012-06-01,10979.2
2012-07-01,11006.2
2012-08-01,10996.5
2012-09-01,11019.9
2012-10-01,11025.8
2012-11-01,11070.0
2012-12-01,11074.7
2013-01-01,11116.1
2013-02-01,11112.1
2013-03-01,11114.4
2013-04-01,11101.2
2013-05-01,11132.9
2013-06-01,11132.5
2013-07-01,11146.4
2013-08-01,11161.7
2013-09-01,11194.2
2013-10-01,11228.0
2013-11-01,11277.7
2013-12-01,11285.3
2014-01-01,11250.4
2014-02-01,11313.8
2014-03-01,11359.9
2014-04-01,11399.9
2014-05-01,11423.9
2014-06-01,11471.7
2014-07-01,11498.9
2014-08-01,11579.4
2014-09-01,11586.2
2014-10-01,11656.9
2014-11-01,11697.2
2014-12-01,11730.8
2015-01-01,11763.0
2015-02-01,11792.4
2015-03-01,11820.9
2015-04-01,11855.4
2015-05-01,11896.9
2015-06-01,11905.7
2015-07-01,11952.3
2015-08-01,11980.8
2015-09-01,11996.6
2015-10-01,11999.3
2015-11-01,12027.0
2015-12-01,12064.4
2016-01-01,12083.6
2016-02-01,12159.3
2016-03-01,12129.7
2016-04-01,12172.2
2016-05-01,12202.2
2016-06-01,12259.4
2016-07-01,12265.1
2016-08-01,12277.9
2016-09-01,12324.2
2016-10-01,12332.8
2016-11-01,12355.5
2016-12-01,12407.6
2017-01-01,12417.4
2017-02-01,12418.0
2017-03-01,12481.3
2017-04-01,12493.3
2017-05-01,12506.2
2017-06-01,12539.1
2017-07-01,12552.0
2017-08-01,12564.6
2017-09-01,12642.2
2017-10-01,12673.3
2017-11-01,12730.3
2017-12-01,12785.5
2018-01-01,12775.5
2018-02-01,12765.2
2018-03-01,12808.0
2018-04-01,12863.2
2018-05-01,12918.2
2018-06-01,12946.2
2018-07-01,12992.6
2018-08-01,13035.3
2018-09-01,13031.5
2018-10-01,13082.2
2018-11-01,13115.6
2018-12-01,13001.2
2019-01-01,13084.8
2019-02-01,13063.0
2019-03-01,13162.2
2019-04-01,13210.9
2019-05-01,13255.8
2019-06-01,13283.4
2019-07-01,13324.6
2019-08-01,13355.6
2019-09-01,13379.2
2019-10-01,13388.3
2019-11-01,13419.9
2019-12-01,13433.2
2020-01-01,13471.6
2020-02-01,13463.2
2020-03-01,12602.0
2020-04-01,11062.2
2020-05-01,11954.8
